,away,vis_pts,home,home_pts,winner
0,Orlando Magic,84,New Orleans Pelicans,101,New Orleans Pelicans
1,Dallas Mavericks,100,San Antonio Spurs,101,San Antonio Spurs
2,Houston Rockets,108,Los Angeles Lakers,90,Houston Rockets
3,Milwaukee Bucks,106,Charlotte Hornets,108,Charlotte Hornets
4,Philadelphia 76ers,91,Indiana Pacers,103,Indiana Pacers
5,Atlanta Hawks,102,Toronto Raptors,109,Toronto Raptors
6,Washington Wizards,95,Miami Heat,107,Miami Heat
7,Brooklyn Nets,105,Boston Celtics,121,Boston Celtics
8,Chicago Bulls,104,New York Knicks,80,Chicago Bulls
9,Minnesota Timberwolves,101,Memphis Grizzlies,105,Memphis Grizzlies
10,Detroit Pistons,79,Denver Nuggets,89,Denver Nuggets
11,Houston Rockets,104,Utah Jazz,93,Houston Rockets
12,Los Angeles Lakers,99,Phoenix Suns,119,Phoenix Suns
13,Golden State Warriors,95,Sacramento Kings,77,Golden State Warriors
14,Oklahoma City Thunder,89,Portland Trail Blazers,106,Portland Trail Blazers
15,Washington Wizards,105,Orlando Magic,98,Washington Wizards
16,New York Knicks,95,Cleveland Cavaliers,90,New York Knicks
17,Detroit Pistons,91,Minnesota Timberwolves,97,Minnesota Timberwolves
18,Utah Jazz,102,Dallas Mavericks,120,Dallas Mavericks
19,Oklahoma City Thunder,90,Los Angeles Clippers,93,Los Angeles Clippers
20,Memphis Grizzlies,97,Indiana Pacers,89,Memphis Grizzlies
21,Cleveland Cavaliers,114,Chicago Bulls,108,Cleveland Cavaliers
22,Philadelphia 76ers,81,Milwaukee Bucks,93,Milwaukee Bucks
23,San Antonio Spurs,89,Phoenix Suns,94,Phoenix Suns
24,Portland Trail Blazers,94,Sacramento Kings,103,Sacramento Kings
25,Los Angeles Clippers,118,Los Angeles Lakers,111,Los Angeles Clippers
26,Memphis Grizzlies,71,Charlotte Hornets,69,Memphis Grizzlies
27,Dallas Mavericks,109,New Orleans Pelicans,104,Dallas Mavericks
28,Toronto Raptors,108,Orlando Magic,95,Toronto Raptors
29,Miami Heat,114,Philadelphia 76ers,96,Miami Heat
30,Milwaukee Bucks,97,Washington Wizards,108,Washington Wizards
31,Indiana Pacers,92,Atlanta Hawks,102,Atlanta Hawks
32,Brooklyn Nets,102,Detroit Pistons,90,Brooklyn Nets
33,Boston Celtics,90,Houston Rockets,104,Houston Rockets
34,Chicago Bulls,106,Minnesota Timberwolves,105,Chicago Bulls
35,Denver Nuggets,91,Oklahoma City Thunder,102,Oklahoma City Thunder
36,Phoenix Suns,91,Utah Jazz,118,Utah Jazz
37,Los Angeles Lakers,104,Golden State Warriors,127,Golden State Warriors
38,Sacramento Kings,98,Los Angeles Clippers,92,Sacramento Kings
39,Toronto Raptors,102,Miami Heat,107,Miami Heat
40,Charlotte Hornets,93,New York Knicks,96,New York Knicks
41,Golden State Warriors,95,Portland Trail Blazers,90,Golden State Warriors
42,Houston Rockets,104,Philadelphia 76ers,93,Houston Rockets
43,Oklahoma City Thunder,85,Brooklyn Nets,116,Brooklyn Nets
44,New Orleans Pelicans,81,Memphis Grizzlies,93,Memphis Grizzlies
45,Boston Celtics,113,Dallas Mavericks,118,Dallas Mavericks
46,Sacramento Kings,110,Denver Nuggets,105,Sacramento Kings
